Name,Position,From,To,Location,Parish district
Sir Philip Martin Bailhache,Assistant Chief Minister,01/01/2014,28/01/2014,Island-wide,
Sir Philip Martin Bailhache,Assistant Chief Minister,01/01/2013,31/12/2013,Island-wide,
Sir Philip Martin Bailhache,Assistant Chief Minister,01/01/2012,31/12/2012,Island-wide,
Sir Philip Martin Bailhache,Assistant Chief Minister,25/11/2011,31/12/2011,Island-wide,
Frederick Ellyer Cohen,Assistant Chief Minister,14/01/2011,17/11/2011,Island-wide,
Ian Joseph Gorst,Assistant Chief Minister,01/01/2008,16/12/2008,Island-wide,
Ian Joseph Gorst,Assistant Chief Minister,01/01/2007,31/12/2007,Island-wide,
Ian Joseph Gorst,Assistant Chief Minister,01/01/2006,31/12/2006,Island-wide,
Ian Joseph Gorst,Assistant Chief Minister,09/12/2005,31/12/2005,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Chief Minister,01/01/2011,14/01/2011,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Chief Minister,01/01/2010,31/12/2010,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Chief Minister,01/01/2009,31/12/2009,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Chief Minister,16/12/2008,31/12/2008,Island-wide,
Philip Francis Cyril Ozouf,Assistant Chief Minister,01/01/2016,31/12/2016,Island-wide,
Philip Francis Cyril Ozouf,Assistant Chief Minister,01/01/2015,31/12/2015,Island-wide,
Philip Francis Cyril Ozouf,Assistant Chief Minister,28/01/2014,31/12/2014,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2016,31/12/2016,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2015,31/12/2015,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2014,31/12/2014,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2013,31/12/2013,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2012,31/12/2012,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,25/11/2011,31/12/2011,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2010,31/12/2010,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2009,31/12/2009,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,16/12/2008,31/12/2008,Island-wide,
Kenneth Priaulx Vibert,Assistant Chief Minister,01/01/2008,16/12/2008,Island-wide,
Kenneth Priaulx Vibert,Assistant Chief Minister,01/01/2007,31/12/2007,Island-wide,
Kenneth Priaulx Vibert,Assistant Chief Minister,01/01/2006,31/12/2006,Island-wide,
Kenneth Priaulx Vibert,Assistant Chief Minister,09/12/2005,31/12/2005,Island-wide,
Scott Michael Wickenden,Assistant Chief Minister,12/07/2016,31/12/2016,Island-wide,
James Patrick Gorton Baker,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2014,13/11/2014,Island-wide,
James Patrick Gorton Baker,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2013,31/12/2013,Island-wide,
James Patrick Gorton Baker,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2012,31/12/2012,Island-wide,
James Patrick Gorton Baker,"Assistant Economic Development, Tourism, Sport and Culture Minister",17/11/2011,31/12/2011,Island-wide,
Geoffrey William Fisher,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2008,16/12/2008,Island-wide,
Geoffrey William Fisher,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2007,31/12/2007,Island-wide,
Geoffrey William Fisher,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2006,31/12/2006,Island-wide,
Geoffrey William Fisher,"Assistant Economic Development, Tourism, Sport and Culture Minister",09/12/2005,31/12/2005,Island-wide,
Carolyn Fiona Labey,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2014,13/11/2014,Island-wide,
Carolyn Fiona Labey,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2013,31/12/2013,Island-wide,
Carolyn Fiona Labey,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2012,31/12/2012,Island-wide,
Carolyn Fiona Labey,"Assistant Economic Development, Tourism, Sport and Culture Minister",17/11/2011,31/12/2011,Island-wide,
Alan John Henry Maclean,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2008,16/12/2008,Island-wide,
Alan John Henry Maclean,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2007,31/12/2007,Island-wide,
Alan John Henry Maclean,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2006,31/12/2006,Island-wide,
Alan John Henry Maclean,"Assistant Economic Development, Tourism, Sport and Culture Minister",09/12/2005,31/12/2005,Island-wide,
Leonard Norman,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2011,17/11/2011,Island-wide,
Leonard Norman,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2010,31/12/2010,Island-wide,
Leonard Norman,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2009,31/12/2009,Island-wide,
Leonard Norman,"Assistant Economic Development, Tourism, Sport and Culture Minister",16/12/2008,31/12/2008,Island-wide,
Murray Julian Norton,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2016,31/12/2016,Island-wide,
Murray Julian Norton,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2015,31/12/2015,Island-wide,
Murray Julian Norton,"Assistant Economic Development, Tourism, Sport and Culture Minister",13/11/2014,31/12/2014,Island-wide,
Stephen William Pallett,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2015,31/12/2015,Island-wide,
Stephen William Pallett,"Assistant Economic Development, Tourism, Sport and Culture Minister",13/11/2014,31/12/2014,Island-wide,
Stephen William Pallett,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2016,31/12/2016,Island-wide,
"Paul Francis Routier, M.B.E.","Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2011,17/11/2011,Island-wide,
"Paul Francis Routier, M.B.E.","Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2010,31/12/2010,Island-wide,
"Paul Francis Routier, M.B.E.","Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2009,31/12/2009,Island-wide,
"Paul Francis Routier, M.B.E.","Assistant Economic Development, Tourism, Sport and Culture Minister",16/12/2008,31/12/2008,Island-wide,
Sir Philip Martin Bailhache ,Assistant Education Minister,01/01/2016,31/12/2016,Island-wide,
Sir Philip Martin Bailhache ,Assistant Education Minister,01/01/2015,31/12/2015,Island-wide,
Sir Philip Martin Bailhache ,Assistant Education Minister,13/11/2014,31/12/2014,Island-wide,
Roderick Gordon Bryans,Assistant Education Minister,01/01/2014,13/11/2014,Island-wide,
Roderick Gordon Bryans,Assistant Education Minister,01/01/2013,31/12/2013,Island-wide,
Roderick Gordon Bryans,Assistant Education Minister,01/01/2012,31/12/2012,Island-wide,
Roderick Gordon Bryans,Assistant Education Minister,17/11/2011,31/12/2011,Island-wide,
Anne Teresa Dupre,Assistant Education Minister,01/01/2011,17/11/2011,Island-wide,
Anne Teresa Dupre,Assistant Education Minister,01/01/2010,31/12/2010,Island-wide,
Anne Teresa Dupre,Assistant Education Minister,01/01/2009,31/12/2009,Island-wide,
Anne Teresa Dupre,Assistant Education Minister,16/12/2008,31/12/2008,Island-wide,
John Benjamin Fox,Assistant Education Minister,01/01/2008,16/12/2008,Island-wide,
John Benjamin Fox,Assistant Education Minister,01/01/2007,31/12/2007,Island-wide,
John Benjamin Fox,Assistant Education Minister,01/01/2006,31/12/2006,Island-wide,
John Benjamin Fox,Assistant Education Minister,09/12/2005,31/12/2005,Island-wide,
"Andrew Kenneth Francis Green, M.B.E.",Assistant Education Minister,01/01/2011,15/02/2011,Island-wide,
"Andrew Kenneth Francis Green, M.B.E.",Assistant Education Minister,01/01/2010,31/12/2010,Island-wide,
"Andrew Kenneth Francis Green, M.B.E.",Assistant Education Minister,01/01/2009,31/12/2009,Island-wide,
"Andrew Kenneth Francis Green, M.B.E.",Assistant Education Minister,16/12/2008,31/12/2008,Island-wide,
Carolyn Fiona Labey,Assistant Education Minister,01/01/2008,16/12/2008,Island-wide,
Carolyn Fiona Labey,Assistant Education Minister,01/01/2007,31/12/2007,Island-wide,
Carolyn Fiona Labey,Assistant Education Minister,01/01/2006,31/12/2006,Island-wide,
Carolyn Fiona Labey,Assistant Education Minister,09/12/2005,31/12/2005,Island-wide,
Roy George Le Hérissier,Assistant Education Minister,01/01/2014,13/11/2014,Island-wide,
Roy George Le Hérissier,Assistant Education Minister,01/01/2013,31/12/2013,Island-wide,
Roy George Le Hérissier,Assistant Education Minister,01/01/2012,31/12/2012,Island-wide,
Roy George Le Hérissier,Assistant Education Minister,17/11/2011,31/12/2011,Island-wide,
Anne Enid Pryke,Assistant Education Minister,22/06/2016,31/12/2016,Island-wide,
Tracey Anne Vallois,Assistant Education Minister,16/03/2011,17/11/2011,Island-wide,
Robert Charles Duhamel ,Assistant Environment Minister ,01/01/2011,12/07/2011,Island-wide,
Robert Charles Duhamel ,Assistant Environment Minister ,01/01/2010,31/12/2010,Island-wide,
Robert Charles Duhamel,Assistant Environment Minister ,18/05/2009,31/12/2009,Island-wide,
Richard Edward Norwood Dupré,Assistant Environment Minister ,01/01/2006,07/12/2006,Island-wide,
Richard Edward Norwood Dupré,Assistant Environment Minister ,09/12/2005,31/12/2005,Island-wide,
Collin Hedley Egré,Assistant Environment Minister ,14/01/2011,12/07/2011,Island-wide,
Carolyn Fiona Labey,Assistant Environment Minister ,01/01/2014,13/11/2014,Island-wide,
Carolyn Fiona Labey,Assistant Environment Minister ,01/01/2013,31/12/2013,Island-wide,
Carolyn Fiona Labey,Assistant Environment Minister ,01/01/2012,31/12/2012,Island-wide,
Carolyn Fiona Labey,Assistant Environment Minister ,25/11/2011,31/12/2011,Island-wide,
Stephen William Pallett,Assistant Environment Minister ,01/01/2016,31/12/2016,Island-wide,
Stephen William Pallett,Assistant Environment Minister ,01/01/2015,31/12/2015,Island-wide,
Stephen William Pallett,Assistant Environment Minister ,13/11/2014,31/12/2014,Island-wide,
Anne Enid Pryke,Assistant Environment Minister ,01/01/2008,31/12/2008,Island-wide,
Anne Enid Pryke,Assistant Environment Minister ,01/01/2016,31/12/2016,Island-wide,
Anne Enid Pryke,Assistant Environment Minister ,01/01/2015,31/12/2015,Island-wide,
Anne Enid Pryke,Assistant Environment Minister ,13/11/2014,31/12/2014,Island-wide,
Anne Enid Pryke,Assistant Environment Minister ,31/01/2007,31/12/2007,Island-wide,
Anne Enid Pryke ,Assistant Environment Minister ,01/01/2009,28/04/2009,Island-wide,
Judith Ann Martin,Assistant Health & Social Services Minister,01/01/2014,13/11/2014,Island-wide,
Judith Ann Martin,Assistant Health & Social Services Minister,01/01/2013,31/12/2013,Island-wide,
Judith Ann Martin,Assistant Health & Social Services Minister,01/01/2012,31/12/2012,Island-wide,
Judith Ann Martin,Assistant Health & Social Services Minister,25/11/2011,31/12/2011,Island-wide,
Judith Ann Martin,Assistant Health & Social Services Minister,01/01/2009,15/04/2009,Island-wide,
Judith Ann Martin,Assistant Health & Social Services Minister,16/12/2008,31/12/2008,Island-wide,
Peter Derek McLinton,Assistant Health & Social Services Minister,01/01/2016,31/12/2016,Island-wide,
Peter Derek McLinton,Assistant Health & Social Services Minister,01/01/2015,31/12/2015,Island-wide,
Peter Derek McLinton,Assistant Health & Social Services Minister,13/11/2014,31/12/2014,Island-wide,
Deidre Wendy Mezbourian,Assistant Health & Social Services Minister,01/01/2009,15/04/2009,Island-wide,
Deidre Wendy Mezbourian,Assistant Health & Social Services Minister,16/12/2008,31/12/2008,Island-wide,
James Leslie Perchard,Assistant Health & Social Services Minister,01/01/2008,11/12/2008,Island-wide,
James Leslie Perchard,Assistant Health & Social Services Minister,21/09/2007,31/12/2007,Island-wide,
John Martin Refault,Assistant Health & Social Services Minister,01/01/2014,31/12/2014,Island-wide,
John Martin Refault,Assistant Health & Social Services Minister,01/01/2013,31/12/2013,Island-wide,
John Martin Refault,Assistant Health & Social Services Minister,01/01/2012,31/12/2012,Island-wide,
John Martin Refault,Assistant Health & Social Services Minister,25/11/2011,31/12/2011,Island-wide,
John Martin Refault ,Assistant Health & Social Services Minister,01/01/2016,31/12/2016,Island-wide,
John Martin Refault ,Assistant Health & Social Services Minister,01/01/2015,31/12/2015,Island-wide,
Celia Joyce Scott Warren,Assistant Health & Social Services Minister,01/01/2007,17/08/2007,Island-wide,
Celia Joyce Scott Warren,Assistant Health & Social Services Minister,01/01/2006,31/12/2006,Island-wide,
Celia Joyce Scott Warren,Assistant Health & Social Services Minister,09/12/2005,31/12/2005,Island-wide,
Lyndon John Farnham,Assistant Home Affairs Minister,01/01/2013,31/12/2013,Island-wide,
Lyndon John Farnham,Assistant Home Affairs Minister,01/01/2012,31/12/2012,Island-wide,
Lyndon John Farnham,Assistant Home Affairs Minister,25/11/2011,31/12/2011,Island-wide,
Lyndon John Farnham,Assistant Home Affairs Minister,01/01/2014,11/11/2014,Island-wide,
Jacqueline Ann Hilton,Assistant Home Affairs Minister,01/01/2011,17/11/2011,Island-wide,
Jacqueline Ann Hilton,Assistant Home Affairs Minister,01/01/2010,31/12/2010,Island-wide,
Jacqueline Ann Hilton,Assistant Home Affairs Minister,01/01/2009,31/12/2009,Island-wide,
Jacqueline Ann Hilton,Assistant Home Affairs Minister,16/12/2008,31/12/2008,Island-wide,
Andrew David Lewis,Assistant Home Affairs Minister,01/01/2008,22/10/2008,Island-wide,
Andrew David Lewis,Assistant Home Affairs Minister,01/01/2007,31/12/2007,Island-wide,
Andrew David Lewis,Assistant Home Affairs Minister,01/01/2006,31/12/2006,Island-wide,
Andrew David Lewis,Assistant Home Affairs Minister,09/12/2005,31/12/2005,Island-wide,
Deidre Wendy Mezbourian,Assistant Home Affairs Minister,01/01/2016,31/12/2016,Island-wide,
Deidre Wendy Mezbourian,Assistant Home Affairs Minister,01/01/2015,31/12/2015,Island-wide,
Deidre Wendy Mezbourian,Assistant Home Affairs Minister,13/11/2014,31/12/2014,Island-wide,
Graeme Frank Butcher,Assistant Housing Minister,01/01/2011,01/02/2011,Island-wide,
Graeme Frank Butcher,Assistant Housing Minister,07/06/2010,31/12/2010,Island-wide,
Jacqueline Ann Hilton,Assistant Housing Minister,01/01/2008,12/12/2008,Island-wide,
Jacqueline Ann Hilton,Assistant Housing Minister,01/01/2007,31/12/2007,Island-wide,
Jacqueline Ann Hilton,Assistant Housing Minister,01/01/2006,31/12/2006,Island-wide,
Jacqueline Ann Hilton,Assistant Housing Minister,09/12/2005,31/12/2005,Island-wide,
Sean Power,Assistant Housing Minister,01/01/2010,02/06/2010,Island-wide,
Sean Power,Assistant Housing Minister,01/01/2009,13/12/2009,Island-wide,
Sean Power,Assistant Housing Minister,16/12/2008,31/12/2008,Island-wide,
John Martin Refault ,Assistant Housing Minister,01/01/2013,31/12/2013,Island-wide,
John Martin Refault ,Assistant Housing Minister,01/01/2012,31/12/2012,Island-wide,
John Martin Refault ,Assistant Housing Minister,15/02/2011,31/12/2011,Island-wide,
Jacqueline Jeannette Huet,Assistant Infrastructure Minister,01/01/2008,11/12/2008,Island-wide,
Jacqueline Jeannette Huet,Assistant Infrastructure Minister,01/01/2007,31/12/2007,Island-wide,
Jacqueline Jeannette Huet,Assistant Infrastructure Minister,01/01/2006,31/12/2006,Island-wide,
Jacqueline Jeannette Huet,Assistant Infrastructure Minister,09/12/2005,31/12/2005,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Infrastructure Minister,01/01/2014,15/10/2014,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Infrastructure Minister,01/01/2013,31/12/2013,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Infrastructure Minister,01/01/2012,31/12/2012,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Infrastructure Minister,17/11/2011,31/12/2011,Island-wide,
Kevin Charles Lewis,Assistant Infrastructure Minister,01/01/2011,17/11/2011,Island-wide,
Kevin Charles Lewis,Assistant Infrastructure Minister,01/01/2010,31/12/2010,Island-wide,
Kevin Charles Lewis,Assistant Infrastructure Minister,01/01/2009,31/12/2009,Island-wide,
Kevin Charles Lewis,Assistant Infrastructure Minister,16/12/2008,31/12/2008,Island-wide,
Richard John Renouf,Assistant Infrastructure Minister,01/01/2016,31/12/2016,Island-wide,
Richard John Renouf,Assistant Infrastructure Minister,01/01/2015,31/12/2015,Island-wide,
Richard John Renouf,Assistant Infrastructure Minister,13/11/2014,31/12/2014,Island-wide,
Angela Elizabeth Jeune,Assistant Social Security Minister,01/01/2011,17/11/2011,Island-wide,
Angela Elizabeth Jeune,Assistant Social Security Minister,01/01/2010,31/12/2010,Island-wide,
Angela Elizabeth Jeune,Assistant Social Security Minister,01/01/2009,31/12/2009,Island-wide,
Angela Elizabeth Jeune,Assistant Social Security Minister,16/12/2008,31/12/2008,Island-wide,
Susan Jane Pinel,Assistant Social Security Minister,17/11/2011,31/12/2011,Island-wide,
Susan Jane Pinel,Assistant Social Security Minister,01/01/2014,13/11/2014,Island-wide,
Susan Jane Pinel ,Assistant Social Security Minister,01/01/2013,31/12/2013,Island-wide,
Susan Jane Pinel ,Assistant Social Security Minister,01/01/2012,31/12/2012,Island-wide,
Peter Nicholas Troy,Assistant Social Security Minister,01/01/2008,11/12/2008,Island-wide,
Peter Nicholas Troy,Assistant Social Security Minister,01/01/2007,31/12/2007,Island-wide,
Peter Nicholas Troy,Assistant Social Security Minister,01/01/2006,31/12/2006,Island-wide,
Peter Nicholas Troy,Assistant Social Security Minister,09/12/2005,31/12/2005,Island-wide,
Graham John Truscott,Assistant Social Security Minister,01/01/2016,31/12/2016,Island-wide,
Graham John Truscott,Assistant Social Security Minister,01/01/2015,31/12/2015,Island-wide,
Graham John Truscott,Assistant Social Security Minister,13/11/2014,31/12/2014,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Treasury & Resources Minister ,01/01/2011,14/01/2011,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Treasury & Resources Minister ,01/01/2010,31/12/2010,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Treasury & Resources Minister ,01/01/2009,31/12/2009,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Treasury & Resources Minister ,01/01/2008,31/12/2008,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Treasury & Resources Minister ,01/01/2007,31/12/2007,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Treasury & Resources Minister ,01/01/2006,31/12/2006,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Treasury & Resources Minister ,09/12/2005,31/12/2005,Island-wide,
Edward James Noel,Assistant Treasury & Resources Minister ,01/01/2016,15/01/2016,Island-wide,
Edward James Noel,Assistant Treasury & Resources Minister ,01/01/2015,31/12/2015,Island-wide,
Edward James Noel,Assistant Treasury & Resources Minister ,01/12/2014,31/12/2014,Island-wide,
Edward James Noel,Assistant Treasury & Resources Minister ,01/01/2013,31/12/2013,Island-wide,
Edward James Noel,Assistant Treasury & Resources Minister ,01/01/2012,31/12/2012,Island-wide,
Edward James Noel,Assistant Treasury & Resources Minister ,01/01/2011,17/11/2011,Island-wide,
Edward James Noel,Assistant Treasury & Resources Minister ,01/01/2010,31/12/2010,Island-wide,
Edward James Noel,Assistant Treasury & Resources Minister ,01/01/2009,31/12/2009,Island-wide,
Edward James Noel,Assistant Treasury & Resources Minister ,16/12/2008,31/12/2008,Island-wide,
John Martin Refault,Assistant Treasury & Resources Minister ,14/01/2011,17/11/2011,Island-wide,
John Martin Refault ,Assistant Treasury & Resources Minister ,01/01/2016,31/12/2016,Island-wide,
John Martin Refault ,Assistant Treasury & Resources Minister ,01/12/2015,31/12/2015,Island-wide,
Tracey Anne Vallois,Assistant Treasury & Resources Minister ,01/01/2015,03/11/2015,Island-wide,
Tracey Anne Vallois,Assistant Treasury & Resources Minister ,13/11/2014,31/12/2014,Island-wide,
William James Bailhache,Bailiff,29/01/2015,31/12/2015,Island-wide,
William James Bailhache,Bailiff,01/01/2016,31/12/2016,Island-wide,
Sir Michael Birt,Bailiff,01/01/2015,31/12/2015,Island-wide,
Sir Michael Birt,Bailiff,01/01/2014,31/12/2014,Island-wide,
Sir Michael Birt,Bailiff,01/01/2013,31/12/2013,Island-wide,
Sir Michael Birt,Bailiff,01/01/2012,31/12/2012,Island-wide,
Sir Michael Birt,Bailiff,01/01/2011,31/12/2011,Island-wide,
Sir Michael Birt,Bailiff,01/01/2010,31/12/2010,Island-wide,
Sir Michael Birt,Bailiff,09/07/2009,31/12/2009,Island-wide,
Sir Philip Martin Bailhache,Bailiff,01/01/2009,09/07/2009,Island-wide,
Sir Philip Martin Bailhache,Bailiff,01/01/2008,31/12/2008,Island-wide,
Sir Philip Martin Bailhache,Bailiff,01/01/2007,31/12/2007,Island-wide,
Sir Philip Martin Bailhache,Bailiff,01/01/2006,31/12/2006,Island-wide,
Sir Philip Martin Bailhache,Bailiff,08/12/2005,31/12/2005,Island-wide,
Ian Joseph Gorst,Chief Minister,01/01/2016,31/12/2016,Island-wide,
Ian Joseph Gorst,Chief Minister,01/01/2015,31/12/2015,Island-wide,
Ian Joseph Gorst,Chief Minister,01/01/2014,31/12/2014,Island-wide,
Ian Joseph Gorst,Chief Minister,01/01/2013,31/12/2013,Island-wide,
Ian Joseph Gorst,Chief Minister,01/01/2012,31/12/2012,Island-wide,
Ian Joseph Gorst,Chief Minister,14/11/2011,31/12/2011,Island-wide,
Terence Augustine Le Sueur,Chief Minister,01/01/2011,14/11/2011,Island-wide,
Terence Augustine Le Sueur,Chief Minister,01/01/2010,31/12/2010,Island-wide,
Terence Augustine Le Sueur,Chief Minister,01/01/2009,31/12/2009,Island-wide,
Terence Augustine Le Sueur,Chief Minister,08/12/2008,31/12/2008,Island-wide,
Frank Harrison Walker,Chief Minister,01/01/2008,08/12/2008,Island-wide,
Frank Harrison Walker,Chief Minister,01/01/2007,31/12/2007,Island-wide,
Frank Harrison Walker,Chief Minister,01/01/2006,31/12/2006,Island-wide,
Frank Harrison Walker,Chief Minister,08/12/2005,31/12/2005,Island-wide,
Alan Simon Crowcroft,Connétable,01/01/2016,31/12/2016,St Helier,
Alan Simon Crowcroft,Connétable,01/01/2015,31/12/2015,St Helier,
Alan Simon Crowcroft,Connétable,01/01/2014,31/12/2014,St Helier,
Alan Simon Crowcroft,Connétable,01/01/2013,31/12/2013,St Helier,
Alan Simon Crowcroft,Connétable,01/01/2012,31/12/2012,St Helier,
Alan Simon Crowcroft,Connétable,01/01/2011,31/12/2011,St Helier,
Alan Simon Crowcroft,Connétable,01/01/2010,31/12/2010,St Helier,
Alan Simon Crowcroft,Connétable,01/01/2009,31/12/2009,St Helier,
Alan Simon Crowcroft,Connétable,01/01/2008,31/12/2008,St Helier,
Alan Simon Crowcroft,Connétable,01/01/2007,31/12/2007,St Helier,
Alan Simon Crowcroft,Connétable,01/01/2006,31/12/2006,St Helier,
Alan Simon Crowcroft,Connétable,01/01/2005,31/12/2005,St Helier,
Graeme Frank Butcher,Connétable,01/01/2011,14/11/2011,St John,
Graeme Frank Butcher,Connétable,01/01/2010,31/12/2010,St John,
Graeme Frank Butcher,Connétable,01/01/2009,31/12/2009,St John,
Graeme Frank Butcher,Connétable,01/01/2009,31/12/2009,St John,
