Name,Position,From,To,Location,Parish district
Graeme Frank Butcher,Connétable,01/01/2007,31/12/2007,St John,
Graeme Frank Butcher,Connétable,01/01/2007,31/12/2007,St John,
Graeme Frank Butcher ,Connétable,08/12/2006,31/12/2006,St John,
Graeme Frank Butcher ,Connétable,08/12/2006,31/12/2006,St John,
Christopher Hugh Taylor,Connétable,01/01/2016,31/12/2016,St John,
Christopher Hugh Taylor,Connétable,01/01/2015,31/12/2015,St John,
Christopher Hugh Taylor ,Connétable,03/11/2014,31/12/2014,St John,
Maxwell Robert De la Haye,Connétable,01/01/2005,01/11/2005,St Brelade,
Deidre Wendy Mezbourian,Connétable,01/01/2016,31/12/2016,St Lawrence,
Deidre Wendy Mezbourian,Connétable,01/01/2015,31/12/2015,St Lawrence,
Deidre Wendy Mezbourian,Connétable,01/01/2014,31/12/2014,St Lawrence,
Deidre Wendy Mezbourian,Connétable,01/01/2013,31/12/2013,St Lawrence,
Deidre Wendy Mezbourian,Connétable,01/01/2012,31/12/2012,St Lawrence,
Deidre Wendy Mezbourian,Connétable,01/01/2011,31/12/2011,St Lawrence,
Deidre Wendy Mezbourian,Connétable,01/01/2010,31/12/2010,St Lawrence,
Deidre Wendy Mezbourian,Connétable,01/01/2009,31/12/2009,St Lawrence,
Deidre Wendy Mezbourian,Connétable,01/01/2009,31/12/2009,St Lawrence,
Deidre Wendy Mezbourian,Connétable,08/12/2008,31/12/2008,St Lawrence,
Thomas John du Feu,Connétable,01/01/2008,08/12/2008,St Peter,
Thomas John du Feu,Connétable,01/01/2007,31/12/2007,St Peter,
Thomas John du Feu,Connétable,01/01/2006,31/12/2006,St Peter,
Thomas John du Feu,Connétable,01/01/2005,31/12/2005,St Peter,
Richard Edward Norwood Dupré,Connétable,01/01/2006,08/12/2006,St John,
Richard Edward Norwood Dupré,Connétable,01/01/2005,31/12/2005,St John,
Geoffrey William Fisher,Connétable,01/01/2008,08/12/2008,St Lawrence,
Geoffrey William Fisher,Connétable,01/01/2007,31/12/2007,St Lawrence,
Geoffrey William Fisher,Connétable,01/01/2006,31/12/2006,St Lawrence,
Geoffrey William Fisher,Connétable,01/01/2005,31/12/2005,St Lawrence,
John Baudains Germain,Connétable,01/01/2006,28/06/2006,St Martin,
John Baudains Germain,Connétable,01/01/2005,31/12/2005,St Martin,
Derek Frederick Gray,Connétable,01/01/2008,08/12/2008,St Clement,
Derek Frederick Gray,Connétable,01/01/2007,31/12/2007,St Clement,
Derek Frederick Gray,Connétable,01/01/2006,31/12/2006,St Clement,
Derek Frederick Gray,Connétable,01/01/2005,31/12/2005,St Clement,
Peter Frederick Maurice Hanning,Connétable,01/01/2011,14/11/2011,St Saviour,
Peter Frederick Maurice Hanning,Connétable,01/01/2010,31/12/2010,St Saviour,
Peter Frederick Maurice Hanning,Connétable,01/01/2009,31/12/2009,St Saviour,
Peter Frederick Maurice Hanning,Connétable,01/01/2008,31/12/2008,St Saviour,
Peter Frederick Maurice Hanning,Connétable,24/08/2007,31/12/2007,St Saviour,
Michael Keith Jackson,Connétable,01/01/2011,14/11/2011,St Brelade,
Michael Keith Jackson,Connétable,01/01/2010,31/12/2010,St Brelade,
Michael Keith Jackson,Connétable,01/01/2009,31/12/2009,St Brelade,
Michael Keith Jackson,Connétable,01/01/2008,31/12/2008,St Brelade,
Michael Keith Jackson,Connétable,01/01/2007,31/12/2007,St Brelade,
Michael Keith Jackson,Connétable,01/01/2006,31/12/2006,St Brelade,
Michael Keith Jackson ,Connétable,11/11/2005,31/12/2005,St Brelade,
John Edward Le Maistre,Connétable,01/01/2016,31/12/2016,Grouville,
John Edward Le Maistre,Connétable,01/01/2015,31/12/2015,Grouville,
John Edward Le Maistre,Connétable,01/01/2014,31/12/2014,Grouville,
John Edward Le Maistre,Connétable,04/10/2013,31/12/2013,Grouville,
John Martin Refault ,Connétable,01/01/2016,31/12/2016,St Peter,
John Martin Refault ,Connétable,01/01/2015,31/12/2015,St Peter,
John Martin Refault ,Connétable,01/01/2014,31/12/2014,St Peter,
John Martin Refault ,Connétable,01/01/2013,31/12/2013,St Peter,
John Martin Refault ,Connétable,01/01/2012,31/12/2012,St Peter,
John Martin Refault ,Connétable,01/01/2011,31/12/2011,St Peter,
John Martin Refault ,Connétable,01/01/2010,31/12/2010,St Peter,
John Martin Refault ,Connétable,01/01/2009,31/12/2009,St Peter,
John Martin Refault ,Connétable,08/12/2008,31/12/2008,St Peter,
Juliette Gallichan,Connétable,01/01/2016,31/12/2016,St Mary,
Juliette Gallichan,Connétable,01/01/2015,31/12/2015,St Mary,
Juliette Gallichan,Connétable,01/01/2014,31/12/2014,St Mary,
Juliette Gallichan,Connétable,01/01/2013,31/12/2013,St Mary,
Juliette Gallichan,Connétable,01/01/2012,31/12/2012,St Mary,
Juliette Gallichan,Connétable,01/01/2011,31/12/2011,St Mary,
Juliette Gallichan,Connétable,01/01/2010,31/12/2010,St Mary,
Juliette Gallichan,Connétable,01/01/2009,31/12/2009,St Mary,
Juliette Gallichan,Connétable,08/12/2008,31/12/2008,St Mary,
John Le Sueur Gallichan,Connétable,01/01/2014,03/11/2014,Trinity,
John Le Sueur Gallichan,Connétable,01/01/2013,31/12/2013,Trinity,
John Le Sueur Gallichan,Connétable,01/01/2012,31/12/2012,Trinity,
John Le Sueur Gallichan,Connétable,01/01/2011,31/12/2011,Trinity,
John Le Sueur Gallichan,Connétable,01/01/2010,31/12/2010,Trinity,
John Le Sueur Gallichan,Connétable,01/01/2009,31/12/2009,Trinity,
John Le Sueur Gallichan,Connétable,01/01/2008,31/12/2008,Trinity,
John Le Sueur Gallichan,Connétable,01/01/2007,31/12/2007,Trinity,
John Le Sueur Gallichan,Connétable,01/01/2006,31/12/2006,Trinity,
John Le Sueur Gallichan,Connétable,01/01/2005,31/12/2005,Trinity,
Kenneth Alan Le Brun,Connétable,01/01/2008,08/12/2008,St Mary,
Kenneth Alan Le Brun,Connétable,01/01/2007,31/12/2007,St Mary,
Kenneth Alan Le Brun,Connétable,01/01/2006,31/12/2006,St Mary,
Kenneth Alan Le Brun,Connétable,01/01/2005,31/12/2005,St Mary,
Leonard Norman,Connétable,01/01/2016,31/12/2016,St Clement,
Leonard Norman,Connétable,01/01/2015,31/12/2015,St Clement,
Leonard Norman,Connétable,01/01/2014,31/12/2014,St Clement,
Leonard Norman,Connétable,01/01/2013,31/12/2013,St Clement,
Leonard Norman,Connétable,01/01/2012,31/12/2012,St Clement,
Leonard Norman,Connétable,01/01/2011,31/12/2011,St Clement,
Leonard Norman,Connétable,01/01/2010,31/12/2010,St Clement,
Leonard Norman,Connétable,01/01/2009,31/12/2009,St Clement,
Leonard Norman,Connétable,08/12/2008,31/12/2008,St Clement,
Michael John Paddock,Connétable,01/01/2016,31/12/2016,St Ouen,
Michael John Paddock,Connétable,01/01/2015,31/12/2015,St Ouen,
Michael John Paddock,Connétable,01/01/2014,31/12/2014,St Ouen,
Michael John Paddock,Connétable,01/01/2013,31/12/2013,St Ouen,
Michael John Paddock,Connétable,01/01/2012,31/12/2012,St Ouen,
Michael John Paddock,Connétable,14/11/2011,31/12/2011,St Ouen,
Michel Philip Sydney Le Troquer,Connétable,01/01/2016,31/12/2016,St Martin,
Michel Philip Sydney Le Troquer,Connétable,01/01/2015,31/12/2015,St Martin,
Michel Philip Sydney Le Troquer,Connétable,01/01/2014,31/12/2014,St Martin,
Michel Philip Sydney Le Troquer,Connétable,01/01/2013,31/12/2013,St Martin,
Michel Philip Sydney Le Troquer,Connétable,01/01/2012,31/12/2012,St Martin,
Michel Philip Sydney Le Troquer,Connétable,14/11/2011,31/12/2011,St Martin,
Daniel Joseph Murphy,Connétable,01/01/2013,25/07/2013,Grouville,
Daniel Joseph Murphy,Connétable,01/01/2012,31/12/2012,Grouville,
Daniel Joseph Murphy,Connétable,01/01/2011,31/12/2011,Grouville,
Daniel Joseph Murphy,Connétable,01/01/2010,31/12/2010,Grouville,
Daniel Joseph Murphy,Connétable,01/01/2009,31/12/2009,Grouville,
Daniel Joseph Murphy,Connétable,01/01/2008,31/12/2008,Grouville,
Daniel Joseph Murphy,Connétable,01/01/2007,31/12/2007,Grouville,
Daniel Joseph Murphy,Connétable,01/01/2006,31/12/2006,Grouville,
Daniel Joseph Murphy,Connétable,01/01/2005,31/12/2005,Grouville,
Philip Francis Ozouf,Connétable,01/01/2007,24/08/2007,St Saviour,
Philip Francis Ozouf,Connétable,01/01/2006,31/12/2006,St Saviour,
Philip Francis Ozouf,Connétable,01/01/2005,31/12/2005,St Saviour,
Philip Bond Le Sueur,Connétable,01/01/2016,31/12/2016,Trinity,
Philip Bond Le Sueur,Connétable,01/01/2015,31/12/2015,Trinity,
Philip Bond Le Sueur,Connétable,03/11/2014,31/12/2014,Trinity,
Philip John Rondel,Connétable,01/01/2014,24/09/2014,St John,
Philip John Rondel,Connétable,01/01/2013,31/12/2013,St John,
Philip John Rondel,Connétable,01/01/2012,31/12/2012,St John,
Philip John Rondel,Connétable,14/11/2011,31/12/2011,St John,
Sadie Anthea Le Sueur-Rennard,Connétable,01/01/2016,31/12/2016,St Saviour,
Sadie Anthea Le Sueur-Rennard,Connétable,01/01/2015,31/12/2015,St Saviour,
Sadie Anthea Le Sueur-Rennard,Connétable,01/01/2014,31/12/2014,St Saviour,
Sadie Anthea Le Sueur-Rennard,Connétable,01/01/2013,31/12/2013,St Saviour,
Sadie Anthea Le Sueur-Rennard,Connétable,01/01/2012,31/12/2012,St Saviour,
Sadie Anthea Le Sueur-Rennard,Connétable,14/11/2011,31/12/2011,St Saviour,
Stephen William Pallett,Connétable,01/01/2016,31/12/2016,St Brelade,
Stephen William Pallett,Connétable,01/01/2015,31/12/2015,St Brelade,
Stephen William Pallett,Connétable,01/01/2014,31/12/2014,St Brelade,
Stephen William Pallett,Connétable,01/01/2013,31/12/2013,St Brelade,
Stephen William Pallett,Connétable,01/01/2012,31/12/2012,St Brelade,
Stephen William Pallett,Connétable,14/11/2011,31/12/2011,St Brelade,
Kenneth Priaulx Vibert,Connétable,01/01/2011,14/11/2011,St Ouen,
Kenneth Priaulx Vibert,Connétable,01/01/2010,31/12/2010,St Ouen,
Kenneth Priaulx Vibert,Connétable,01/01/2009,31/12/2009,St Ouen,
Kenneth Priaulx Vibert,Connétable,01/01/2008,31/12/2008,St Ouen,
Kenneth Priaulx Vibert,Connétable,01/01/2007,31/12/2007,St Ouen,
Kenneth Priaulx Vibert,Connétable,01/01/2006,31/12/2006,St Ouen,
Kenneth Priaulx Vibert,Connétable,01/01/2005,31/12/2005,St Ouen,
Silvanus Arthur Yates,Connétable,01/01/2011,14/11/2011,St Martin,
Silvanus Arthur Yates,Connétable,01/01/2010,31/12/2010,St Martin,
Silvanus Arthur Yates,Connétable,01/01/2009,31/12/2009,St Martin,
Silvanus Arthur Yates,Connétable,01/01/2008,31/12/2008,St Martin,
Silvanus Arthur Yates,Connétable,01/01/2007,31/12/2007,St Martin,
Silvanus Arthur Yates,Connétable,30/06/2006,31/12/2006,St Martin,
"The Very Reverend Robert Frederick Key, B.A.",Dean,01/01/2016,31/12/2016,Island-wide,
"The Very Reverend Robert Frederick Key, B.A.",Dean,01/01/2015,31/12/2015,Island-wide,
"The Very Reverend Robert Frederick Key, B.A.",Dean,01/01/2014,31/12/2014,Island-wide,
"The Very Reverend Robert Frederick Key, B.A.",Dean,01/01/2013,31/12/2013,Island-wide,
"The Very Reverend Robert Frederick Key, B.A.",Dean,01/01/2012,31/12/2012,Island-wide,
"The Very Reverend Robert Frederick Key, B.A.",Dean,01/01/2011,31/12/2011,Island-wide,
"The Very Reverend Robert Frederick Key, B.A.",Dean,01/01/2010,31/12/2010,Island-wide,
"The Very Reverend Robert Frederick Key, B.A.",Dean,01/01/2009,31/12/2009,Island-wide,
"The Very Reverend Robert Frederick Key, B.A.",Dean,01/01/2008,31/12/2008,Island-wide,
"The Very Reverend Robert Frederick Key, B.A.",Dean,01/01/2007,31/12/2007,Island-wide,
The Very Reverend John Seaford,Dean,01/01/2006,31/12/2006,Island-wide,
The Very Reverend John Seaford,Dean,01/01/2005,31/12/2005,Island-wide,
James Patrick Gorton Baker,Deputy,01/01/2014,03/11/2014,St Helier,St Helier 1
James Patrick Gorton Baker,Deputy,01/01/2013,31/12/2013,St Helier,St Helier 1
James Patrick Gorton Baker,Deputy,01/01/2012,31/12/2012,St Helier,St Helier 1
James Patrick Gorton Baker,Deputy,14/11/2011,31/12/2011,St Helier,St Helier 1
Gerard Clifford Lemmens Baudains,Deputy,01/01/2014,03/11/2014,St Clement,
Gerard Clifford Lemmens Baudains,Deputy,01/01/2013,31/12/2013,St Clement,
Gerard Clifford Lemmens Baudains,Deputy,01/01/2012,31/12/2012,St Clement,
Gerard Clifford Lemmens Baudains,Deputy,14/11/2011,31/12/2011,St Clement,
Gerard Clifford Lemmens Baudains,Deputy,01/01/2008,08/12/2008,St Clement,
Gerard Clifford Lemmens Baudains,Deputy,01/01/2007,31/12/2007,St Clement,
Gerard Clifford Lemmens Baudains,Deputy,01/01/2006,31/12/2006,St Clement,
Gerard Clifford Lemmens Baudains,Deputy,01/01/2005,31/12/2005,St Clement,
Julian Alexander Bernstein,Deputy,01/01/2005,05/12/2005,St Brelade,St Brelade 2
Alan Breckon,Deputy,01/01/2008,08/12/2008,St Saviour,St Saviour 2
Alan Breckon,Deputy,01/01/2007,31/12/2007,St Saviour,St Saviour 2
Alan Breckon,Deputy,01/01/2006,31/12/2006,St Saviour,St Saviour 2
Alan Breckon,Deputy,01/01/2005,31/12/2005,St Saviour,St Saviour 2
Simon Muir Bree,Deputy,01/01/2016,31/12/2016,St Clement,
Simon Muir Bree,Deputy,01/01/2015,31/12/2015,St Clement,
Simon Muir Bree,Deputy,03/11/2014,31/12/2014,St Clement,
Jennifer-Anne Bridge,Deputy,01/01/2005,05/12/2005,St Helier,St Helier 2
Roderick Gordon Bryans,Deputy,01/01/2016,31/12/2016,St Helier,St Helier 2
Roderick Gordon Bryans,Deputy,01/01/2015,31/12/2015,St Helier,St Helier 2
Roderick Gordon Bryans,Deputy,01/01/2014,31/12/2014,St Helier,St Helier 2
Roderick Gordon Bryans,Deputy,01/01/2013,31/12/2013,St Helier,St Helier 2
Roderick Gordon Bryans,Deputy,01/01/2012,31/12/2012,St Helier,St Helier 2
Roderick Gordon Bryans,Deputy,14/11/2011,31/12/2011,St Helier,St Helier 2
David Leon Crespel,Deputy,01/01/2005,05/12/2005,Trinity,
Guy William John de Faye,Deputy,01/01/2008,08/12/2008,St Helier,St Helier 3 and 4
Guy William John de Faye,Deputy,01/01/2007,31/12/2007,St Helier,St Helier 3 and 4
Guy William John de Faye,Deputy,01/01/2006,31/12/2006,St Helier,St Helier 3 and 4
Guy William John de Faye,Deputy,01/01/2005,31/12/2005,St Helier,St Helier 3 and 4
Deborah Jane De Sousa,Deputy,01/01/2011,14/11/2011,St Helier,St Helier 2
Deborah Jane De Sousa,Deputy,01/01/2010,31/12/2010,St Helier,St Helier 2
Deborah Jane De Sousa,Deputy,01/01/2009,31/12/2009,St Helier,St Helier 2
Deborah Jane De Sousa,Deputy,08/12/2008,31/12/2008,St Helier,St Helier 2
Deidre Wendy Mezbourian,Deputy,01/01/2008,31/12/2008,St Lawrence,
Deidre Wendy Mezbourian,Deputy,01/01/2007,31/12/2007,St Lawrence,
Deidre Wendy Mezbourian,Deputy,01/01/2006,31/12/2006,St Lawrence,
Deidre Wendy Mezbourian,Deputy,05/12/2005,31/12/2005,St Lawrence,
Jeremy Laurence Dorey,Deputy,01/01/2005,31/12/2005,St Helier,St Helier 1
Louise Mary Catherine Doublet,Deputy,01/01/2016,31/12/2016,St Saviour,St Saviour 2
Louise Mary Catherine Doublet,Deputy,01/01/2015,31/12/2015,St Saviour,St Saviour 2
Louise Mary Catherine Doublet,Deputy,03/11/2014,31/12/2014,St Saviour,St Saviour 2
Robert Charles Duhamel,Deputy,01/01/2014,03/11/2014,St Saviour,St Saviour 1
Robert Charles Duhamel,Deputy,01/01/2013,31/12/2013,St Saviour,St Saviour 1
Robert Charles Duhamel,Deputy,01/01/2012,31/12/2012,St Saviour,St Saviour 1
Robert Charles Duhamel,Deputy,01/01/2011,31/12/2011,St Saviour,St Saviour 1
Robert Charles Duhamel,Deputy,01/01/2010,31/12/2010,St Saviour,St Saviour 1
Robert Charles Duhamel,Deputy,01/01/2009,31/12/2009,St Saviour,St Saviour 1
Robert Charles Duhamel,Deputy,01/01/2008,31/12/2008,St Saviour,St Saviour 1
Robert Charles Duhamel,Deputy,01/01/2007,31/12/2007,St Saviour,St Saviour 1
Robert Charles Duhamel,Deputy,01/01/2006,31/12/2006,St Saviour,St Saviour 1
Robert Charles Duhamel,Deputy,01/01/2005,31/12/2005,St Saviour,St Saviour 1
Anne Teresa Dupre,Deputy,01/01/2011,14/11/2011,St Clement,
Anne Teresa Dupre,Deputy,01/01/2010,31/12/2010,St Clement,
Anne Teresa Dupre,Deputy,01/01/2009,31/12/2009,St Clement,
Anne Teresa Dupre,Deputy,08/12/2008,31/12/2008,St Clement,
Collin Hedley Egré,Deputy,01/01/2011,14/11/2011,St Peter,
Collin Hedley Egré,Deputy,01/01/2010,31/12/2010,St Peter,
Collin Hedley Egré,Deputy,01/01/2009,31/12/2009,St Peter,
Collin Hedley Egré,Deputy,01/01/2008,31/12/2008,St Peter,
Collin Hedley Egré,Deputy,01/01/2007,31/12/2007,St Peter,
Collin Hedley Egré,Deputy,01/01/2006,31/12/2006,St Peter,
Collin Hedley Egré,Deputy,01/01/2005,31/12/2005,St Peter,
Lyndon John Farnham,Deputy,01/01/2005,05/12/2005,St Saviour,St Saviour 2
Sarah Craig Ferguson,Deputy,01/01/2008,08/12/2008,St Brelade,St Brelade 1
Sarah Craig Ferguson,Deputy,01/01/2007,31/12/2007,St Brelade,St Brelade 1
Sarah Craig Ferguson,Deputy,01/01/2006,31/12/2006,St Brelade,St Brelade 1
Sarah Craig Ferguson,Deputy,01/01/2005,31/12/2005,St Brelade,St Brelade 1
John Benjamin Fox,Deputy,01/01/2011,14/11/2011,St Helier,St Helier 3 and 4
John Benjamin Fox,Deputy,01/01/2010,31/12/2010,St Helier,St Helier 3 and 4
John Benjamin Fox,Deputy,01/01/2009,31/12/2009,St Helier,St Helier 3 and 4
John Benjamin Fox,Deputy,01/01/2008,31/12/2008,St Helier,St Helier 3 and 4
John Benjamin Fox,Deputy,01/01/2007,31/12/2007,St Helier,St Helier 3 and 4
John Benjamin Fox,Deputy,01/01/2006,31/12/2006,St Helier,St Helier 3 and 4
John Benjamin Fox,Deputy,01/01/2005,31/12/2005,St Helier,St Helier 3 and 4
Ian Joseph Gorst,Deputy,01/01/2011,14/11/2011,St Clement,
Ian Joseph Gorst,Deputy,01/01/2010,31/12/2010,St Clement,
Ian Joseph Gorst,Deputy,01/01/2009,31/12/2009,St Clement,
Ian Joseph Gorst,Deputy,01/01/2008,31/12/2008,St Clement,
Ian Joseph Gorst,Deputy,01/01/2007,31/12/2007,St Clement,
Ian Joseph Gorst,Deputy,01/01/2006,31/12/2006,St Clement,
Ian Joseph Gorst,Deputy,05/12/2005,31/12/2005,St Clement,
"Andrew Kenneth Francis Green, M.B.E.",Deputy,01/01/2014,03/11/2014,St Helier,St Helier 3 and 4
"Andrew Kenneth Francis Green, M.B.E.",Deputy,01/01/2013,31/12/2013,St Helier,St Helier 3 and 4
"Andrew Kenneth Francis Green, M.B.E.",Deputy,01/01/2012,31/12/2012,St Helier,St Helier 3 and 4
"Andrew Kenneth Francis Green, M.B.E.",Deputy,01/01/2011,31/12/2011,St Helier,St Helier 3 and 4
"Andrew Kenneth Francis Green, M.B.E.",Deputy,01/01/2010,31/12/2010,St Helier,St Helier 3 and 4
"Andrew Kenneth Francis Green, M.B.E.",Deputy,01/01/2009,31/12/2009,St Helier,St Helier 3 and 4
"Andrew Kenneth Francis Green, M.B.E.",Deputy,08/12/2008,31/12/2008,St Helier,St Helier 3 and 4
Geoffrey John Grime,Deputy,01/01/2005,05/12/2005,St Mary,
Michael Roderick Higgins,Deputy,01/01/2016,31/12/2016,St Helier,St Helier 3 and 4
Michael Roderick Higgins,Deputy,01/01/2015,31/12/2015,St Helier,St Helier 3 and 4
Michael Roderick Higgins,Deputy,01/01/2014,31/12/2014,St Helier,St Helier 3 and 4
Michael Roderick Higgins,Deputy,01/01/2013,31/12/2013,St Helier,St Helier 3 and 4
Michael Roderick Higgins,Deputy,01/01/2012,31/12/2012,St Helier,St Helier 3 and 4
Michael Roderick Higgins,Deputy,01/01/2011,31/12/2011,St Helier,St Helier 3 and 4
Michael Roderick Higgins,Deputy,01/01/2010,31/12/2010,St Helier,St Helier 3 and 4
Michael Roderick Higgins,Deputy,01/01/2009,31/12/2009,St Helier,St Helier 3 and 4
Michael Roderick Higgins,Deputy,08/12/2008,31/12/2008,St Helier,St Helier 3 and 4
"Frederick John Hill, B.E.M.",Deputy,01/01/2011,14/11/2011,St Martin,
"Frederick John Hill, B.E.M.",Deputy,01/01/2010,31/12/2010,St Martin,
"Frederick John Hill, B.E.M.",Deputy,01/01/2009,31/12/2009,St Martin,
"Frederick John Hill, B.E.M.",Deputy,01/01/2008,31/12/2008,St Martin,
"Frederick John Hill, B.E.M.",Deputy,01/01/2007,31/12/2007,St Martin,
"Frederick John Hill, B.E.M.",Deputy,01/01/2006,31/12/2006,St Martin,
"Frederick John Hill, B.E.M.",Deputy,01/01/2005,31/12/2005,St Martin,
Jacqueline Ann Hilton,Deputy,01/01/2016,31/12/2016,St Helier,St Helier 3 and 4
Jacqueline Ann Hilton,Deputy,01/01/2015,31/12/2015,St Helier,St Helier 3 and 4
Jacqueline Ann Hilton,Deputy,01/01/2014,31/12/2014,St Helier,St Helier 3 and 4
Jacqueline Ann Hilton,Deputy,01/01/2013,31/12/2013,St Helier,St Helier 3 and 4
Jacqueline Ann Hilton,Deputy,01/01/2012,31/12/2012,St Helier,St Helier 3 and 4
Jacqueline Ann Hilton,Deputy,01/01/2011,31/12/2011,St Helier,St Helier 3 and 4
Jacqueline Ann Hilton,Deputy,01/01/2010,31/12/2010,St Helier,St Helier 3 and 4
Jacqueline Ann Hilton,Deputy,01/01/2009,31/12/2009,St Helier,St Helier 3 and 4
Jacqueline Ann Hilton,Deputy,01/01/2008,31/12/2008,St Helier,St Helier 3 and 4
Jacqueline Ann Hilton,Deputy,01/01/2007,31/12/2007,St Helier,St Helier 3 and 4
Jacqueline Ann Hilton,Deputy,01/01/2006,31/12/2006,St Helier,St Helier 3 and 4
Jacqueline Ann Hilton,Deputy,01/01/2005,31/12/2005,St Helier,St Helier 3 and 4
Jacqueline Jeannette Huet,Deputy,01/01/2008,08/12/2008,St Helier,St Helier 3 and 4
Jacqueline Jeannette Huet,Deputy,01/01/2007,31/12/2007,St Helier,St Helier 3 and 4
Jacqueline Jeannette Huet,Deputy,01/01/2006,31/12/2006,St Helier,St Helier 3 and 4
Jacqueline Jeannette Huet,Deputy,01/01/2005,31/12/2005,St Helier,St Helier 3 and 4
Angela Elizabeth Jeune,Deputy,01/01/2011,14/11/2011,St Brelade,St Brelade 1
Angela Elizabeth Jeune,Deputy,01/01/2010,31/12/2010,St Brelade,St Brelade 1
Angela Elizabeth Jeune,Deputy,01/01/2009,31/12/2009,St Brelade,St Brelade 1
Angela Elizabeth Jeune,Deputy,08/12/2008,31/12/2008,St Brelade,St Brelade 1
Robert David Johnson,Deputy,01/01/2016,31/12/2016,St Mary,
Robert David Johnson,Deputy,01/01/2015,31/12/2015,St Mary,
Robert David Johnson,Deputy,03/11/2014,31/12/2014,St Mary,
Juliette Gallichan,Deputy,01/01/2008,08/12/2008,St Mary,
Juliette Gallichan,Deputy,01/01/2007,31/12/2007,St Mary,
Juliette Gallichan,Deputy,01/01/2006,31/12/2006,St Mary,
Juliette Gallichan,Deputy,05/12/2005,31/12/2005,St Mary,
Carolyn Fiona Labey,Deputy,01/01/2016,31/12/2016,Grouville,
Carolyn Fiona Labey,Deputy,01/01/2015,31/12/2015,Grouville,
Carolyn Fiona Labey,Deputy,01/01/2014,31/12/2014,Grouville,
Carolyn Fiona Labey,Deputy,01/01/2013,31/12/2013,Grouville,
Carolyn Fiona Labey,Deputy,01/01/2012,31/12/2012,Grouville,
Carolyn Fiona Labey,Deputy,01/01/2011,31/12/2011,Grouville,
Carolyn Fiona Labey,Deputy,01/01/2010,31/12/2010,Grouville,
Carolyn Fiona Labey,Deputy,01/01/2009,31/12/2009,Grouville,
Carolyn Fiona Labey,Deputy,01/01/2008,31/12/2008,Grouville,
Carolyn Fiona Labey,Deputy,01/01/2007,31/12/2007,Grouville,
Carolyn Fiona Labey,Deputy,01/01/2006,31/12/2006,Grouville,
Carolyn Fiona Labey,Deputy,01/01/2005,31/12/2005,Grouville,
Russell Labey,Deputy,01/01/2016,31/12/2016,St Helier,St Helier 1
Russell Labey,Deputy,01/01/2015,31/12/2015,St Helier,St Helier 1
Russell Labey,Deputy,03/11/2014,31/12/2014,St Helier,St Helier 1
John Michael Le Bailly,Deputy,01/01/2014,03/11/2014,St Mary,
John Michael Le Bailly,Deputy,01/01/2013,31/12/2013,St Mary,
John Michael Le Bailly,Deputy,01/01/2012,31/12/2012,St Mary,
John Michael Le Bailly,Deputy,14/11/2011,31/12/2011,St Mary,
Paul Vincent Francis Le Claire,Deputy,01/01/2011,14/11/2011,St Helier,St Helier 1
Paul Vincent Francis Le Claire,Deputy,01/01/2010,31/12/2010,St Helier,St Helier 1
Paul Vincent Francis Le Claire,Deputy,01/01/2009,31/12/2009,St Helier,St Helier 1
Paul Vincent Francis Le Claire,Deputy,01/01/2008,31/12/2008,St Helier,St Helier 1
Paul Vincent Francis Le Claire,Deputy,01/01/2007,31/12/2007,St Helier,St Helier 1
Paul Vincent Francis Le Claire,Deputy,01/01/2006,31/12/2006,St Helier,St Helier 1
Paul Vincent Francis Le Claire,Deputy,05/12/2005,31/12/2005,St Helier,St Helier 1
Nicholas Basil Le Cornu,Deputy,07/03/2014,03/11/2014,St Helier,St Helier 1
John Alexander Nicholas Le Fondré,Deputy,01/01/2016,31/12/2016,St Lawrence,
John Alexander Nicholas Le Fondré,Deputy,01/01/2015,31/12/2015,St Lawrence,
John Alexander Nicholas Le Fondré,Deputy,01/01/2014,31/12/2014,St Lawrence,
John Alexander Nicholas Le Fondré,Deputy,01/01/2013,31/12/2013,St Lawrence,
John Alexander Nicholas Le Fondré,Deputy,01/01/2012,31/12/2012,St Lawrence,
John Alexander Nicholas Le Fondré,Deputy,01/01/2011,31/12/2011,St Lawrence,
John Alexander Nicholas Le Fondré,Deputy,01/01/2010,31/12/2010,St Lawrence,
